"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710612780446527E9,"2024-03-16 18:13:00.447 UTCZ"
"PAUSE",8.579270879167598E1,1.710612866239228E9,"2024-03-16 18:14:26.239 UTCZ"
