"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711453822496364E9,"2024-03-26 11:50:22.496 UTCZ"
"PAUSE",5.343590991664678E1,1.711453875931381E9,"2024-03-26 11:51:15.931 UTCZ"
