"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712328804048045E9,"2024-04-05 15:53:24.048 UTC+01:00"
"PAUSE",7.374824295833241E1,1.712328877795403E9,"2024-04-05 15:54:37.795 UTC+01:00"
