"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710617385725431E9,"2024-03-16 19:29:45.725 UTCZ"
"PAUSE",6.345912716667226E1,1.710617449184568E9,"2024-03-16 19:30:49.185 UTCZ"
