"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710618395236264E9,"2024-03-16 19:46:35.236 UTCZ"
"PAUSE",5.671780212500016E1,1.710618451954040E9,"2024-03-16 19:47:31.954 UTCZ"
