"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710619679764020E9,"2024-03-16 20:07:59.764 UTCZ"
"PAUSE",7.090564325000742E1,1.710619750669682E9,"2024-03-16 20:09:10.670 UTCZ"
