"event","experiment time","system time","system time text"
"START",0.000000000E0,1709414856.439,"2024-03-02 21:27:36.439 UTCZ"
"PAUSE",4.311621633E1,1709414899.555,"2024-03-02 21:28:19.555 UTCZ"
