"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711451734690766E9,"2024-03-26 11:15:34.691 UTCZ"
"PAUSE",7.942676737508737E1,1.711451814116208E9,"2024-03-26 11:16:54.116 UTCZ"
