"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711452837309082E9,"2024-03-26 11:33:57.309 UTCZ"
"PAUSE",5.156137591670267E1,1.711452888869597E9,"2024-03-26 11:34:48.870 UTCZ"
