"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711455789112455E9,"2024-03-26 12:23:09.112 UTCZ"
"PAUSE",5.978835104149766E1,1.711455848899530E9,"2024-03-26 12:24:08.900 UTCZ"
