"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711453555886650E9,"2024-03-26 11:45:55.887 UTCZ"
"PAUSE",5.537668025004678E1,1.711453611262405E9,"2024-03-26 11:46:51.262 UTCZ"
