"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711455213912332E9,"2024-03-26 12:13:33.912 UTCZ"
"PAUSE",5.860329695837572E1,1.711455272514378E9,"2024-03-26 12:14:32.514 UTCZ"
