"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710619110559187E9,"2024-03-16 19:58:30.559 UTCZ"
"PAUSE",7.936208104166144E1,1.710619189921285E9,"2024-03-16 19:59:49.921 UTCZ"
