"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710619425110207E9,"2024-03-16 20:03:45.110 UTCZ"
"PAUSE",6.407384520833148E1,1.710619489184069E9,"2024-03-16 20:04:49.184 UTCZ"
