"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711456068846192E9,"2024-03-26 12:27:48.846 UTCZ"
"PAUSE",6.245436595845968E1,1.711456131299225E9,"2024-03-26 12:28:51.299 UTCZ"
