"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711452002991611E9,"2024-03-26 11:20:02.992 UTCZ"
"PAUSE",7.043507741671056E1,1.711452073425512E9,"2024-03-26 11:21:13.426 UTCZ"
