"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711450767790980E9,"2024-03-26 10:59:27.791 UTCZ"
"PAUSE",9.761020174995065E1,1.711450865410639E9,"2024-03-26 11:01:05.411 UTCZ"
