"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710614596703540E9,"2024-03-16 18:43:16.704 UTCZ"
"PAUSE",6.344228550000116E1,1.710614660145836E9,"2024-03-16 18:44:20.146 UTCZ"
