"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711453087078779E9,"2024-03-26 11:38:07.079 UTCZ"
"PAUSE",5.154560491652228E1,1.711453138623524E9,"2024-03-26 11:38:58.624 UTCZ"
