"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712328278038016E9,"2024-04-05 15:44:38.038 UTC+01:00"
"PAUSE",7.340140491668717E1,1.712328351438539E9,"2024-04-05 15:45:51.439 UTC+01:00"
