"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712328616368059E9,"2024-04-05 15:50:16.368 UTC+01:00"
"PAUSE",8.102922687499085E1,1.712328697396314E9,"2024-04-05 15:51:37.396 UTC+01:00"
