"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710616979533319E9,"2024-03-16 19:22:59.533 UTCZ"
"PAUSE",6.708810345832899E1,1.710617046621433E9,"2024-03-16 19:24:06.621 UTCZ"
