"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711455690018525E9,"2024-03-26 12:21:30.019 UTCZ"
"PAUSE",5.521998179168440E1,1.711455745237327E9,"2024-03-26 12:22:25.237 UTCZ"
