"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710612219365479E9,"2024-03-16 18:03:39.365 UTCZ"
"PAUSE",1.017345446666586E2,1.710612321100034E9,"2024-03-16 18:05:21.100 UTCZ"
