"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711453685485992E9,"2024-03-26 11:48:05.486 UTCZ"
"PAUSE",5.567062795837410E1,1.711453741155691E9,"2024-03-26 11:49:01.156 UTCZ"
