"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710612925844343E9,"2024-03-16 18:15:25.844 UTCZ"
"PAUSE",7.290373383332917E1,1.710612998748084E9,"2024-03-16 18:16:38.748 UTCZ"
