"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710613169212663E9,"2024-03-16 18:19:29.213 UTCZ"
"PAUSE",8.436912179166393E1,1.710613253581794E9,"2024-03-16 18:20:53.582 UTCZ"
