"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710615232869523E9,"2024-03-16 18:53:52.870 UTCZ"
"PAUSE",5.806189454166452E1,1.710615290931426E9,"2024-03-16 18:54:50.931 UTCZ"
