"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710617589405704E9,"2024-03-16 19:33:09.406 UTCZ"
"PAUSE",7.582602712498920E1,1.710617665231743E9,"2024-03-16 19:34:25.232 UTCZ"
