"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710615036679508E9,"2024-03-16 18:50:36.680 UTCZ"
"PAUSE",6.641874133332749E1,1.710615103098260E9,"2024-03-16 18:51:43.098 UTCZ"
