"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711452714641908E9,"2024-03-26 11:31:54.642 UTCZ"
"PAUSE",5.251069958321750E1,1.711452767151730E9,"2024-03-26 11:32:47.152 UTCZ"
