"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711455330566136E9,"2024-03-26 12:15:30.566 UTCZ"
"PAUSE",5.419744091667235E1,1.711455384762419E9,"2024-03-26 12:16:24.762 UTCZ"
