"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710618638050427E9,"2024-03-16 19:50:38.050 UTCZ"
"PAUSE",5.448906616667227E1,1.710618692539507E9,"2024-03-16 19:51:32.540 UTCZ"
