"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710615554782179E9,"2024-03-16 18:59:14.782 UTCZ"
"PAUSE",6.704592429166951E1,1.710615621828088E9,"2024-03-16 19:00:21.828 UTCZ"
